ip,total,code_401,code_403,code_404,errors,error_ratio,method,first,last,agent,abuse_score,country,isp,domain,flag
208.91.156.11,60,0,0,60,60,1.00,GET,2015-05-17 11:05,2015-05-20 21:05,Chef Client/10.18.2 (ruby-1.9.3-p327; ohai-6.16.0; x86_64-linux; +http://opscode.com),0,US,"Hulu, LLC",hulu.com,Behavior
144.76.95.39,27,0,0,14,14,0.52,GET,2015-05-17 16:05,2015-05-20 09:05,Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+),0,DE,Hetzner Online GmbH,hetzner.com,Agent
66.249.73.135,482,0,0,8,8,0.02,GET,2015-05-17 10:05,2015-05-20 21:05,"Googlebot-Image/1.0; DoCoMo/2.0 N905i(c100;TB;W24H16) (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html); Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html); SAMSUNG-SGH-E250/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/6.2.3.3.c.1.101 (GUI) MMP/2.0 (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html); Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",0,US,Google LLC,google.com,Agent
91.236.75.25,9,0,0,8,8,0.89,"GET, HEAD",2015-05-18 04:05,2015-05-20 05:05,-; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ),0,PL,FHU Adnex,adnex.pl,Behavior
195.250.34.144,3,0,0,3,3,1.00,GET,2015-05-17 17:05,2015-05-17 17:05,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/24.0.1290.1 Safari/537.13",0,IT,Aruba Business S.R.L.,aruba.it,Behavior
78.173.140.106,3,0,0,3,3,1.00,POST,2015-05-19 09:05,2015-05-19 11:05,-,0,TR,Turk Telekomunikasyon Anonim Sirketi,turktelekom.com.tr,Behavior
95.78.54.93,3,0,0,3,3,1.00,GET,2015-05-19 12:05,2015-05-19 12:05,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/24.0.1309.0 Safari/537.17",0,RU,CJSC Company Telemax Naberezhnye Chelny,dom.ru,Behavior
198.245.61.43,3,0,0,3,3,1.00,GET,2015-05-19 14:05,2015-05-19 14:05,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/24.0.1309.0 Safari/537.17",0,CA,"OVH Hosting, Inc.",ovh.net,Behavior
188.165.243.45,3,0,0,3,3,1.00,GET,2015-05-20 02:05,2015-05-20 02:05,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/24.0.1309.0 Safari/537.17",0,FR,OVH SAS,ovh.net,Behavior
66.249.73.185,56,0,0,2,2,0.04,GET,2015-05-17 10:05,2015-05-20 21:05,"Googlebot-Image/1.0; DoCoMo/2.0 N905i(c100;TB;W24H16) (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html); Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html); SAMSUNG-SGH-E250/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/6.2.3.3.c.1.101 (GUI) MMP/2.0 (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html); Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",0,US,Google LLC,google.com,Agent
212.90.148.107,2,0,0,2,2,1.00,GET,2015-05-18 18:05,2015-05-18 18:05,-,0,DE,Network for goneo Internet GmbH,goneo.de,Behavior
207.241.237.220,18,0,0,1,1,0.06,GET,2015-05-17 10:05,2015-05-18 02:05,Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot),0,US,Internet Archive,archive.org,Agent
207.241.237.104,13,0,0,1,1,0.08,GET,2015-05-17 13:05,2015-05-18 02:05,Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot),0,US,Internet Archive,archive.org,Agent
157.55.34.93,2,0,0,1,1,0.50,GET,2015-05-20 07:05,2015-05-20 07:05,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),0,US,Microsoft Corporation,microsoft.com,Agent
74.208.180.23,1,0,0,1,1,1.00,GET,2015-05-17 16:05,2015-05-17 16:05,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; SV1; .NET CLR 2.0.50727; InfoPath.1),0,US,IONOS Inc.,ionos.com,Behavior
198.143.145.210,1,0,0,1,1,1.00,GET,2015-05-17 22:05,2015-05-17 22:05,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,0,US,Nodecraft Inc.,nodecraft.com,Behavior
94.242.255.188,1,0,0,1,1,1.00,GET,2015-05-17 23:05,2015-05-17 23:05,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1),0,SG,root SA,root.lu,Behavior
69.171.237.10,1,0,0,1,1,1.00,GET,2015-05-18 03:05,2015-05-18 03:05,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),0,US,"Facebook, Inc.",facebook.com,Behavior
69.171.237.9,1,0,0,1,1,1.00,GET,2015-05-18 03:05,2015-05-18 03:05,facebookexternalhit/1.0 (+http://www.facebook.com/externalhit_uatext.php),0,US,"Facebook, Inc.",facebook.com,Behavior
46.28.105.80,1,0,0,1,1,1.00,GET,2015-05-18 04:05,2015-05-18 04:05,-,0,CZ,WEDOS hosting services,wedos.com,Behavior
199.102.67.16,1,0,0,1,1,1.00,GET,2015-05-18 04:05,2015-05-18 04:05,-,0,US,"SBA Edge, LLC",sbaedge.com,Behavior
199.189.248.95,1,0,0,1,1,1.00,GET,2015-05-18 05:05,2015-05-18 05:05,-,0,BR,U.S. Marshals Service in accordance with the Final Order of Forfeiture,justice.gov,Behavior
85.19.71.167,1,0,0,1,1,1.00,GET,2015-05-18 05:05,2015-05-18 05:05,-,0,NO,Telia Norge AS,telia.no,Behavior
101.226.168.198,1,0,0,1,1,1.00,GET,2015-05-18 06:05,2015-05-18 06:05,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MDDR; .NET4.0C; .NET4.0E; .NET CLR 1.1.4322; Tablet PC 2.0); 360Spider,0,CN,CHINANET SHANGHAI PROVINCE NETWORK,chinatelecom.cn,Agent & Behavior
66.147.244.126,1,0,0,1,1,1.00,GET,2015-05-18 07:05,2015-05-18 07:05,-,0,US,Unified Layer,unifiedlayer.com,Behavior
192.185.81.134,1,0,0,1,1,1.00,GET,2015-05-18 07:05,2015-05-18 07:05,-,0,US,HostGator.com LLC,hostgator.com,Behavior
216.14.208.102,1,0,0,1,1,1.00,GET,2015-05-18 09:05,2015-05-18 09:05,-,0,US,Successful Hosting,pricalduli.tk,Behavior
